MSOA Code,Population Density,income,Unemployment Rate,properites,House Density,HousePrice
E02000001,26.2,46788,3.8,"6,680",19,425944.444 
E02000002,31.7,27059,11.8,"2,770",13,183750.000 
E02000003,47.7,36835,9.1,"3,970",18,208194.444 
E02000004,25.3,39668,9.3,"2,380",9,196305.278 
E02000005,72.9,29156,9.7,"3,290",28,173833.333 
E02000007,52.3,25569,13.1,"3,590",20,170083.333 
E02000008,81.9,26750,11.1,"4,710",33,166916.389 
E02000009,92.3,27347,11.1,"4,110",34,172804.444 
E02000010,79.0,27077,10.2,"3,400",30,166666.667 
E02000011,39.6,33153,8.6,"2,420",15,185666.667 
E02000012,77.3,42624,7.3,"3,330",26,258777.778 
E02000013,64.9,27213,9.9,"3,230",24,167943.889 
E02000014,79.6,26796,11.0,"3,590",30,166916.667 
E02000015,56.3,24591,13.9,"3,250",24,146661.111 
E02000016,92.8,26823,11.8,"3,390",35,149121.944 
E02000017,99.6,34435,9.0,"2,820",32,213833.333 
E02000018,66.5,26613,11.8,"3,340",25,165722.222 
E02000019,28.0,29593,10.3,"3,110",10,165305.278 
E02000020,28.3,27819,11.3,"3,960",10,187027.778 
E02000021,28.5,28518,9.6,"3,010",11,163055.000 
E02000022,119.6,22151,15.5,"3,290",44,146999.444 
E02000023,37.4,24258,13.1,"2,520",14,163347.222 
E02006799,88.0,27616,11.6,"4,400",32,177943.889 
E02000024,27.8,44293,4.5,"3,730",11,338818.889 
E02000025,33.6,32507,5.8,"2,570",16,261863.167 
E02000026,44.0,39295,5.2,"3,780",17,337718.889 
E02000027,58.2,27381,8.5,"2,600",22,275933.333 
E02000028,59.5,39306,5.0,"3,580",24,298847.222 
E02000029,51.3,31213,7.0,"3,550",21,255528.333 
E02000030,6.3,46651,5.1,"3,070",2,562050.000 
E02000031,38.4,42831,4.4,"2,770",15,374444.444 
E02000032,56.5,41515,4.6,"3,390",20,391861.111 
E02000033,48.8,29483,8.2,"3,510",19,286795.500 
E02000034,55.7,32409,5.9,"3,580",22,251958.333 
E02000035,62.8,35703,5.5,"4,030",27,293610.833 
E02000036,60.6,31167,6.5,"3,440",22,287788.889 
E02000037,23.2,36675,6.2,"4,150",8,383141.667 
E02000038,61.6,33581,6.0,"2,630",24,324724.667 
E02000039,31.6,45509,4.0,"2,810",12,372444.444 
E02000040,14.0,31793,7.3,"3,270",5,346269.444 
E02000041,67.8,30530,6.1,"4,530",24,302275.000 
E02000042,90.1,31836,6.0,"2,740",37,267711.111 
E02000043,53.3,51412,4.7,"3,020",19,484469.111 
E02000044,73.9,26179,8.3,"4,180",26,235527.778 
E02000045,60.3,28859,7.7,"2,920",24,243633.333 
E02000046,74.8,37474,5.5,"4,140",30,308362.111 
E02000047,80.9,22538,8.7,"3,950",29,222972.222 
E02000048,32.3,41106,5.1,"3,360",13,331883.333 
E02000049,110.3,19305,11.5,"3,980",39,207388.889 
E02000050,48.5,30134,6.5,"3,780",18,284663.778 
E02000051,60.9,42567,5.3,"4,250",25,388390.000 
E02000052,103.0,37106,5.2,"5,150",44,316833.333 
E02000053,60.3,25778,6.5,"2,950",22,233618.889 
E02000054,49.0,32171,5.6,"4,500",19,272219.444 
E02000055,79.2,31358,5.3,"3,580",30,297024.944 
E02000056,28.6,63752,3.6,"2,660",11,797577.778 
E02000057,69.2,37191,6.4,"4,140",24,344527.778 
E02000058,57.8,49097,4.6,"4,270",23,500544.444 
E02000059,48.4,24087,8.0,"3,750",19,232577.778 
E02000060,90.9,40122,5.7,"3,620",29,489774.444 
E02000061,51.8,48783,5.3,"2,410",21,547455.556 
E02000062,35.3,23645,8.8,"2,720",13,272247.222 
E02000063,69.0,28148,7.9,"2,570",25,319888.889 
E02000064,81.0,28377,8.1,"2,860",32,306627.778 
E02000065,24.8,26981,10.8,"3,900",9,155022.222 
E02000066,61.5,22542,12.1,"3,920",26,149088.889 
E02000067,38.8,26156,8.3,"3,290",16,157687.778 
E02000068,33.0,26030,10.0,"2,580",14,153833.056 
E02000069,42.9,29097,6.5,"3,240",18,166860.556 
E02000070,42.5,33410,5.0,"2,980",18,223250.000 
E02000071,62.8,29748,5.5,"4,500",24,198027.778 
E02000072,27.3,22762,12.5,"4,030",11,159332.500 
E02000073,66.9,38384,4.4,"3,460",25,240332.778 
E02000074,68.8,24851,8.5,"3,200",29,163777.778 
E02000075,51.6,38685,3.8,"2,990",21,243221.389 
E02000077,70.6,31615,4.7,"3,110",26,220277.222 
E02000078,52.1,36561,4.2,"3,410",21,201221.944 
E02000079,47.5,37560,4.4,"3,830",20,216083.333 
E02000080,55.3,32793,5.8,"3,310",23,225166.389 
E02000081,34.1,32046,5.8,"3,450",14,215667.778 
E02000082,60.0,36144,4.4,"4,470",23,225000.000 
E02000083,26.8,29038,6.5,"4,280",11,181194.444 
E02000084,40.8,41318,4.3,"3,180",17,241606.944 
E02000085,49.2,33487,4.2,"2,840",19,205694.167 
E02000086,49.9,41089,3.8,"3,410",19,239302.778 
E02000087,20.4,48169,3.8,"3,060",9,271608.056 
E02000088,38.8,40186,3.6,"2,970",15,242605.556 
E02000089,57.4,42366,4.1,"4,240",21,268721.389 
E02000090,49.1,37219,4.6,"4,480",23,194277.778 
E02000091,36.0,37550,4.8,"2,800",16,223966.667 
E02000092,11.0,27187,7.4,"3,490",5,190638.611 
E02006785,47.4,29625,7.1,"2,820",19,204888.333 
E02000093,79.0,33472,6.3,"3,210",25,297663.889 
E02000094,75.6,30685,6.7,"2,590",24,286602.778 
E02000095,63.7,33359,7.7,"2,980",21,310666.667 
E02000096,45.1,51120,5.4,"2,880",16,400438.889 
E02000097,48.1,30181,7.2,"2,810",16,285877.778 
E02000098,43.3,36992,7.2,"2,530",15,346663.889 
E02000099,67.2,34889,7.0,"3,430",22,280577.778 
E02000100,40.3,48533,4.8,"2,570",14,372716.667 
E02000101,67.6,27696,9.6,"3,220",24,232087.778 
E02000102,57.3,23730,10.8,"2,320",19,243275.000 
E02000103,49.5,26806,9.3,"3,110",17,266888.333 
E02000104,61.2,32803,7.5,"3,610",20,293591.667 
E02000105,68.9,30264,7.4,"4,180",22,232444.444 
E02000106,77.6,24454,10.0,"2,310",26,245972.222 
E02000107,115.6,30789,7.6,"4,110",44,293527.778 
E02000108,80.9,28659,7.1,"3,100",27,241842.444 
E02000109,51.9,28215,8.3,"3,120",18,243222.222 
E02000110,104.2,36528,7.3,"3,060",38,400975.000 
E02000111,89.3,27150,6.8,"3,420",26,228997.222 
E02000112,75.0,26226,7.6,"3,570",24,253944.444 
E02000113,66.2,20202,13.6,"3,970",23,200691.611 
E02000114,150.2,28588,7.6,"3,220",59,281083.333 
E02000115,98.9,38186,6.8,"4,910",48,336736.111 
E02000116,78.0,23147,9.9,"3,210",29,243096.111 
E02000117,136.7,21148,14.0,"2,850",52,210333.333 
E02000118,78.7,24942,7.5,"4,390",23,232805.278 
E02000119,29.5,21638,14.2,"3,030",10,215708.167 
E02000120,184.8,36708,6.4,"3,100",87,338333.333 
E02000121,67.1,26397,6.7,"5,910",21,212388.889 
E02000122,66.6,47307,5.9,"4,390",26,508916.667 
E02000123,144.2,23115,11.9,"4,120",58,248455.222 
E02000124,93.1,42553,6.1,"3,390",41,391494.444 
E02000125,141.4,37288,6.7,"3,890",58,356852.667 
E02000126,168.8,22165,14.6,"3,120",78,275888.889 
E02000127,38.9,25946,9.2,"3,680",17,187083.278 
E02000128,28.7,37117,4.4,"4,910",12,273472.222 
E02000130,54.3,34183,7.0,"4,930",24,253593.278 
E02000131,52.2,29839,8.1,"4,500",27,197513.389 
E02000132,51.3,36073,5.7,"5,470",28,231319.444 
E02000133,16.3,60333,3.3,"4,590",7,442299.611 
E02000134,56.6,35942,5.7,"2,340",28,230133.333 
E02000135,86.1,22604,11.9,"3,760",39,169008.333 
E02000136,12.5,34834,5.8,"4,310",5,277749.722 
E02000137,43.2,45204,3.9,"3,350",20,246250.000 
E02000138,38.9,49094,3.4,"3,410",20,264605.000 
E02000139,48.4,38704,4.7,"3,240",22,254122.222 
E02000140,42.9,23489,9.4,"3,490",18,188833.333 
E02000141,75.6,32858,7.4,"3,930",35,222999.722 
E02000142,47.0,45498,4.1,"3,670",19,283799.722 
E02000144,44.8,44725,5.1,"3,970",20,262385.278 
E02000145,7.4,24228,9.6,"3,290",3,170497.222 
E02000146,47.8,37735,4.4,"2,740",20,246805.278 
E02000147,35.7,55508,3.9,"3,250",14,417830.000 
E02000148,23.6,50081,3.9,"3,190",10,373555.556 
E02000149,41.5,29404,7.0,"3,050",18,207552.778 
E02000150,27.7,43369,3.9,"3,130",10,329138.889 
E02000151,36.1,52696,3.4,"2,930",14,375991.667 
E02000152,26.6,29543,8.0,"3,440",11,254471.667 
E02000153,34.6,47622,3.2,"3,150",13,342833.333 
E02000154,38.7,40860,4.5,"4,920",16,242560.556 
E02000155,38.2,32409,5.6,"3,400",17,228938.333 
E02000156,31.6,46521,3.5,"3,100",13,338176.722 
E02000157,32.8,47996,3.5,"2,890",14,302000.000 
E02000158,34.5,33394,6.8,"3,040",14,270333.333 
E02000159,11.8,50127,3.7,"3,430",5,397027.778 
E02000160,9.4,44672,4.1,"2,950",4,328000.000 
E02000161,49.3,45001,3.6,"3,120",20,278188.889 
E02000162,5.3,35374,4.5,"2,780",2,270991.667 
E02000163,6.8,45352,3.6,"3,720",3,316166.111 
E02000165,12.6,35787,4.2,"3,860",5,233996.944 
E02006782,29.6,32275,6.7,"3,620",12,250111.111 
E02006787,51.2,40665,4.7,"3,270",21,303055.556 
E02006789,2.9,38750,4.3,"3,780",1,300361.111 
E02000166,26.6,42650,6.5,"3,550",12,472272.222 
E02000167,37.0,71771,3.3,"4,360",19,766750.000 
E02000168,123.2,43197,5.5,"3,920",53,378444.444 
E02000169,66.3,72851,3.8,"3,780",28,832655.556 
E02000170,108.6,49795,5.0,"4,470",50,489275.000 
E02000171,156.7,46318,5.7,"3,430",70,475212.056 
E02000172,158.2,25248,9.6,"4,280",64,330612.778 
E02000173,100.7,60006,4.1,"4,420",48,647750.000 
E02000174,160.4,31969,6.6,"3,060",71,343771.944 
E02000175,127.1,43267,5.3,"3,630",64,419683.333 
E02000176,166.5,62063,3.5,"4,120",87,570672.222 
E02000177,176.8,28690,8.6,"3,460",76,346538.889 
E02000178,165.0,30067,7.4,"4,120",78,330272.222 
E02000179,170.9,41716,6.9,"4,110",79,551861.111 
E02000180,161.7,32416,7.1,"4,320",73,376716.667 
E02000181,144.4,53974,3.8,"3,670",70,483388.889 
E02000182,88.7,47092,6.1,"4,030",40,551000.000 
E02000183,102.5,48659,4.8,"3,500",54,570168.889 
E02000184,131.8,26058,9.1,"2,370",56,309825.000 
E02000185,181.5,26410,9.6,"3,690",88,322944.444 
E02000186,67.7,35370,6.1,"3,390",34,477919.444 
E02000187,88.2,21851,10.7,"3,750",35,340420.444 
E02000188,167.0,23234,10.4,"4,550",64,287666.667 
E02000189,203.5,25620,11.3,"4,410",79,339833.333 
E02000190,209.8,27809,8.8,"3,530",93,320034.722 
E02000191,128.3,34232,4.3,"2,600",51,469944.444 
E02000192,170.6,30782,8.5,"3,420",82,434944.444 
E02000193,72.9,35144,5.5,"3,540",40,406833.333 
E02000194,64.0,31945,8.4,"3,310",30,215636.111 
E02000195,48.1,37134,6.4,"4,000",18,281434.444 
E02000196,61.3,29358,9.1,"4,080",21,268250.000 
E02000197,93.5,28768,7.7,"3,080",35,237219.444 
E02000198,91.6,25836,10.1,"3,170",38,183222.222 
E02000199,98.7,28685,9.6,"3,170",38,208180.556 
E02000200,67.4,27756,10.1,"4,380",31,173827.778 
E02000201,99.7,24270,11.8,"3,690",46,168913.889 
E02000202,116.3,27698,8.5,"3,940",42,217138.889 
E02000203,98.0,25648,9.3,"2,990",40,183944.444 
E02000204,86.7,27578,8.6,"3,420",30,217883.333 
E02000206,66.9,24553,11.0,"3,330",29,174886.111 
E02000207,74.5,26377,10.5,"3,070",29,197841.667 
E02000208,115.2,23258,9.9,"4,790",45,176938.889 
E02000209,83.8,25897,8.8,"2,360",30,193605.556 
E02000210,108.1,31270,7.3,"5,050",45,218069.444 
E02000211,48.5,40687,4.9,"3,080",20,259411.111 
E02000212,69.2,23897,9.1,"4,760",24,184077.778 
E02000213,93.3,23328,11.2,"2,430",42,169413.889 
E02000214,61.5,41062,4.9,"3,090",23,269644.444 
E02000215,105.7,29986,7.3,"5,300",53,196000.000 
E02000216,29.8,48844,5.8,"4,040",14,231111.111 
E02000217,71.2,27511,7.7,"3,550",31,195068.889 
E02000218,59.9,30242,8.3,"2,890",21,298638.889 
E02000219,13.5,47716,4.1,"3,370",5,318930.556 
E02000220,67.5,30075,7.2,"2,770",35,178888.889 
E02000221,36.0,27590,7.8,"2,850",14,211302.778 
E02000222,43.5,40759,5.8,"5,000",20,211322.222 
E02000223,87.8,19464,14.3,"2,990",30,164055.556 
E02000224,60.7,36609,6.1,"2,440",27,207294.444 
E02000225,47.3,23066,9.2,"4,190",17,189833.333 
E02000226,23.3,48232,4.3,"2,710",9,325913.889 
E02000227,25.2,33018,5.4,"2,370",11,204494.444 
E02000228,24.5,56797,3.7,"2,470",10,379945.444 
E02000229,49.5,20645,11.6,"3,310",19,186888.889 
E02000230,38.9,46726,5.0,"2,730",16,264772.167 
E02000231,23.0,58777,4.2,"2,940",8,475638.889 
E02000232,14.3,40983,4.7,"3,110",5,292008.333 
E02000233,39.3,41588,6.4,"3,320",15,245438.889 
E02000234,26.4,41247,6.0,"2,970",10,261480.500 
E02000235,13.3,48017,5.2,"3,940",5,300819.444 
E02000236,21.7,45181,4.5,"2,520",8,287551.333 
E02000237,15.3,40645,5.7,"2,190",6,284719.444 
E02006788,54.9,26909,8.7,"3,160",21,210088.889 
E02000238,64.0,29229,6.8,"2,730",21,246327.778 
E02000239,38.5,33760,6.2,"3,420",13,276388.889 
E02000240,60.3,25369,9.0,"3,150",22,218552.778 
E02000241,52.0,30465,6.3,"3,860",18,243300.000 
E02000242,78.0,29655,7.0,"3,050",25,268444.444 
E02000243,30.2,29187,7.4,"2,900",11,236052.722 
E02000244,40.8,32152,5.6,"2,610",15,255275.000 
E02000245,50.1,22255,11.5,"2,520",20,175913.889 
E02000246,42.7,24459,10.7,"4,340",15,215111.111 
E02000247,74.2,26048,8.8,"3,930",27,193138.667 
E02000248,42.9,38267,6.2,"2,620",17,285136.111 
E02000249,61.2,28013,7.6,"3,830",22,249522.222 
E02000250,64.9,61772,4.1,"3,890",26,466809.278 
E02000251,83.7,28532,7.5,"6,530",27,249222.222 
E02000252,30.8,26595,8.7,"2,690",12,243430.556 
E02000253,83.7,26097,9.0,"2,380",33,255666.667 
E02000254,85.8,25997,7.8,"2,630",25,234550.000 
E02000255,61.1,40484,6.9,"4,580",24,348388.889 
E02000256,81.6,50640,5.1,"3,970",36,327302.778 
E02000257,61.9,51698,5.2,"3,420",28,335510.667 
E02000258,66.3,35249,6.8,"3,530",26,360000.000 
E02000259,49.5,42063,5.1,"4,930",18,304286.111 
E02000260,81.2,24748,8.8,"3,930",24,218861.056 
E02000261,83.9,29508,7.1,"3,160",33,304063.889 
E02000262,128.3,30715,7.0,"3,960",55,289972.222 
E02000263,95.9,22323,9.5,"3,380",27,231000.000 
E02000264,56.3,45947,5.0,"3,840",23,338441.667 
E02000265,107.8,33387,7.3,"3,020",48,291720.722 
E02000266,31.7,22204,13.2,"2,640",10,209444.444 
E02000267,93.3,37448,6.1,"4,170",39,295083.333 
E02000268,69.6,47342,6.6,"2,260",30,387916.667 
E02000269,91.2,54721,4.0,"2,870",38,402722.222 
E02000270,100.5,24319,10.2,"2,700",43,264661.000 
E02000271,89.2,62306,3.9,"3,440",40,598611.111 
E02000272,55.5,50797,4.9,"4,670",22,415830.556 
E02000274,90.1,21267,10.4,"3,550",26,210500.000 
E02000275,62.2,25015,10.1,"3,560",19,224552.778 
E02000276,79.7,49469,4.0,"3,510",32,354011.111 
E02006791,96.2,48508,4.8,"2,930",47,398897.889 
E02000277,68.6,25716,9.2,"3,610",26,215398.611 
E02000278,69.0,21779,12.0,"2,520",25,209633.333 
E02000279,44.8,24370,11.6,"4,120",17,189030.500 
E02000280,5.4,35117,6.4,"2,720",2,265752.778 
E02000281,46.3,26860,9.1,"3,850",19,207194.444 
E02000282,72.4,19940,13.6,"2,500",28,173583.333 
E02000283,74.0,24504,10.5,"2,860",25,220027.778 
E02000284,64.5,39307,6.1,"4,380",28,246927.778 
E02000285,66.7,43171,5.3,"3,640",26,293427.500 
E02000286,39.9,45546,4.8,"2,530",20,239499.667 
E02000287,7.6,53025,5.1,"3,090",3,548055.556 
E02000288,50.5,23053,10.7,"3,410",18,203888.889 
E02000289,19.4,48346,5.4,"4,180",7,406380.556 
E02000290,15.1,19974,13.2,"3,560",6,181447.222 
E02000291,79.7,30042,8.1,"3,100",36,212500.000 
E02000292,51.4,31552,7.3,"3,490",19,238374.333 
E02000293,29.4,53234,4.6,"3,030",12,417466.667 
E02000294,59.5,23917,9.3,"4,000",20,219721.944 
E02000295,52.7,41983,6.8,"3,200",21,262302.778 
E02000296,54.2,34084,7.3,"3,090",23,249525.000 
E02000297,56.9,44530,4.5,"2,950",22,328610.833 
E02000298,40.3,54820,4.1,"3,590",16,454519.444 
E02000299,107.7,22359,10.7,"3,590",40,203026.167 
E02000300,106.9,24178,10.4,"3,360",40,206642.500 
E02000301,56.6,20418,12.7,"2,930",22,177638.889 
E02000302,52.8,33941,7.2,"3,870",20,302694.444 
E02000303,69.3,21087,13.3,"3,710",26,200527.222 
E02000304,46.9,54819,4.5,"4,390",17,437105.556 
E02000305,91.5,41862,5.7,"2,500",37,267943.889 
E02000306,45.3,18308,15.5,"4,590",17,169802.778 
E02000307,90.7,26016,9.9,"3,590",31,227055.556 
E02000308,68.4,31597,7.5,"5,390",26,295805.556 
E02000309,66.3,21387,11.9,"3,290",24,190833.333 
E02000311,71.8,26884,9.0,"3,440",26,237833.333 
E02000312,83.6,34634,6.6,"3,900",33,251719.444 
E02006793,93.0,19714,13.1,"2,580",34,165416.667 
E02000313,92.5,24276,11.7,"3,000",36,164277.222 
E02000314,43.4,29541,10.2,"4,460",14,174379.444 
E02000315,77.0,23697,12.3,"2,880",29,170978.889 
E02000316,59.1,29087,8.7,"3,120",27,247006.000 
E02000317,130.9,23117,14.2,"2,390",50,184294.444 
E02000318,92.3,25175,11.0,"3,230",31,181138.889 
E02000319,121.3,27011,11.8,"2,480",43,181000.000 
E02000320,46.6,27925,9.3,"3,320",18,184776.667 
E02000321,117.8,23177,12.2,"3,050",47,181500.000 
E02000323,143.8,23258,12.6,"3,080",55,178305.000 
E02000324,57.0,26863,9.9,"2,630",22,231633.333 
E02000326,99.4,39906,6.6,"2,680",41,290722.222 
E02000327,38.1,25334,12.1,"3,110",13,169972.222 
E02000328,76.7,50673,5.6,"2,620",37,321663.333 
E02000329,35.5,30249,9.0,"2,960",14,192916.389 
E02000331,80.8,29502,7.7,"3,070",34,217944.167 
